,Month,ACT_n,NSW_n,NT_n,Qld_n,SA_n,Tas_n,Vic_n,WA_n,Aust_n,ACT_rate,NSW_rate,NT_rate,Qld_rate,SA_rate,Tas_rate,Vic_rate,WA_rate,Aust_rate,,,,,,,,,,
Hepatitis (NEC),Jul-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis B (newly acquired),Jul-19,0,1,0,7,0,1,4,3,16,0,0,0,0.1,0,0.2,0.1,0.1,0.1,,,,,,,,,,
Hepatitis B (unspecified),Jul-19,9,196,6,76,26,8,150,35,506,2.1,2.4,2.4,1.5,1.5,1.5,2.3,1.3,2,,,,,,,,,,
Hepatitis C (newly acquired),Jul-19,1,4,0,43,3,0,5,12,68,0.2,0,0,0.8,0.2,0,0.1,0.5,0.3,,,,,,,,,,
Hepatitis C (unspecified),Jul-19,15,262,12,156,39,15,132,79,710,3.5,3.2,4.9,3.1,2.2,2.8,2,3,2.8,,,,,,,,,,
Hepatitis D,Jul-19,0,2,0,2,1,0,0,0,5,0,0,0,0,0.1,0,0,0,0,,,,,,,,,,
Botulism,Jul-19,0,0,0,0,1,0,0,0,1,0,0,0,0,0.1,0,0,0,0,,,,,,,,,,
Campylobacteriosis,Jul-19,53,752,42,712,290,72,605,325,2851,12.4,9.3,17.1,14,16.5,13.5,9.2,12.4,16.5,,,,,,,,,,
Cryptosporidiosis,Jul-19,0,35,11,43,7,0,45,10,151,0,0.4,4.5,0.8,0.4,0,0.7,0.4,0.6,,,,,,,,,,
Haemolytic uraemic syndrome (HUS),Jul-19,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis A,Jul-19,0,3,0,1,2,0,7,1,14,0,0,0,0,0.1,0,0.1,0,0.1,,,,,,,,,,
Hepatitis E,Jul-19,0,3,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Listeriosis,Jul-19,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Paratyphoid,Jul-19,0,0,0,3,1,1,0,0,5,0,0,0,0.1,0.1,0.2,0,0,0,,,,,,,,,,
STEC,Jul-19,0,5,0,2,16,0,7,11,41,0,0.1,0,0,0.9,0,0.1,0.4,0.2,,,,,,,,,,
Salmonellosis,Jul-19,9,220,20,203,67,13,237,156,925,2.1,2.7,8.1,4,3.8,2.4,3.6,6,3.6,,,,,,,,,,
Shigellosis,Jul-19,2,67,16,46,24,2,46,33,236,0.5,0.8,6.5,0.9,1.4,0.4,0.7,1.3,0.9,,,,,,,,,,
Typhoid Fever,Jul-19,1,6,0,2,0,0,2,1,12,0.2,0.1,0,0,0,0,0,0,0,,,,,,,,,,
Legionellosis,Jul-19,0,8,0,7,2,0,9,1,27,0,0.1,0,0.1,0.1,0,0.1,0,0.1,,,,,,,,,,
Leprosy,Jul-19,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Meningococcal disease (invasive),Jul-19,0,11,0,6,2,0,3,2,24,0,0.1,0,0.1,0.1,0,0,0.1,0.1,,,,,,,,,,
Tuberculosis,Jul-19,1,50,3,16,4,2,40,12,128,0.2,0.6,1.2,0.3,0.2,0.4,0.6,0.5,0.5,,,,,,,,,,
COVID-19,Jul-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Cholera,Jul-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Middle East respiratory syndrome coronavirus,Jul-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Plague,Jul-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rabies,Jul-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Smallpox,Jul-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Viral haemorrhagic fever (NEC),Jul-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Yellow fever,Jul-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Chlamydial infection,Jul-19,134,2824,256,2112,586,127,2406,987,9432,31.4,34.9,104,41.5,33.4,23.8,36.5,37.6,37.2,,,,,,,,,,
Donovanosis,Jul-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Gonococcal infection,Jul-19,21,1017,110,572,160,16,795,357,3048,4.9,12.6,44.7,11.2,9.1,3,12.1,13.6,12,,,,,,,,,,
Syphilis < 2 years,Jul-19,8,179,28,91,8,1,138,53,506,1.9,2.2,11.4,1.8,0.5,0.2,2.1,2,2,,,,,,,,,,
Syphilis > 2 years or unspecified duration,Jul-19,3,69,8,25,2,0,79,17,203,0.7,0.9,3.3,0.5,0.1,0,1.2,0.6,0.8,,,,,,,,,,
Syphilis congenital,Jul-19,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Diphtheria,Jul-19,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Haemophilus influenzae type b,Jul-19,0,3,1,0,0,0,0,0,4,0,0,0.4,0,0,0,0,0,0,,,,,,,,,,
Influenza (laboratory confirmed),Jul-19,1045,32685,158,14207,1731,532,14783,4942,70083,245.2,404.2,64.2,279,98.8,99.5,224.2,188.5,276.4,,,,,,,,,,
Measles,Jul-19,1,1,0,7,1,0,5,4,19,0.2,0,0,0.1,0.1,0,0.1,0.2,0.1,,,,,,,,,,
Mumps,Jul-19,0,3,0,3,1,0,0,0,7,0,0,0,0.1,0.1,0,0,0,0,,,,,,,,,,
Pertussis,Jul-19,38,505,4,184,20,17,157,34,959,8.9,6.2,1.6,3.6,1.1,3.2,2.4,1.3,3.8,,,,,,,,,,
Pneumococcal disease (invasive),Jul-19,5,100,6,41,16,4,62,34,268,1.2,1.2,2.4,0.8,0.9,0.7,0.9,1.3,1.1,,,,,,,,,,
Poliovirus infection,Jul-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rotavirus,Jul-19,5,125,8,131,45,6,33,73,426,1.2,1.5,3.3,2.6,2.6,1.1,0.5,2.8,1.7,,,,,,,,,,
Rubella,Jul-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rubella congenital,Jul-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Tetanus,Jul-19,0,0,0,0,1,0,0,0,1,0,0,0,0,0.1,0,0,0,0,,,,,,,,,,
Varicella zoster (chickenpox),Jul-19,25,NN,9,175,43,10,114,55,431,5.9,NN,3.7,3.4,2.5,1.9,1.7,2.1,1.7,,,,,,,,,,
Varicella zoster (shingles),Jul-19,29,NN,32,649,264,51,207,186,1418,6.8,NN,13,12.7,15.1,9.5,3.1,7.1,5.6,,,,,,,,,,
Varicella zoster (unspecified),Jul-19,14,NN,1,37,6,10,760,136,964,3.3,NN,0.4,0.7,0.3,1.9,11.5,5.2,3.8,,,,,,,,,,
Barmah Forest virus infection,Jul-19,0,3,1,16,1,0,1,1,23,0,0,0.4,0.3,0.1,0,0,0,0.1,,,,,,,,,,
Chikungunya virus infection,Jul-19,0,4,0,2,0,0,8,1,15,0,0,0,0,0,0,0.1,0,0.1,,,,,,,,,,
Dengue virus infection,Jul-19,3,50,2,19,8,0,41,28,151,0.7,0.6,0.8,0.4,0.5,0,0.6,1.1,0.6,,,,,,,,,,
Flavivirus infection (unspecified),Jul-19,0,1,0,2,0,0,2,0,5,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Japanese encephalitis virus infection,Jul-19,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Malaria,Jul-19,2,9,4,10,1,0,8,6,40,0.5,0.1,1.6,0.2,0.1,0,0.1,0.2,0.2,,,,,,,,,,
Murray Valley encephalitis virus infection,Jul-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Ross River virus infection,Jul-19,0,47,10,142,6,0,16,26,247,0,0.6,4.1,2.8,0.3,0,0.2,1,1,,,,,,,,,,
West Nile/Kunjin virus infection,Jul-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Anthrax,Jul-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Australian bat lyssavirus infection,Jul-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Brucellosis,Jul-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Leptospirosis,Jul-19,0,1,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Lyssavirus infection (NEC),Jul-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Ornithosis,Jul-19,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Q fever,Jul-19,0,15,0,11,2,0,3,2,33,0,0.2,0,0.2,0.1,0,0,0.1,0.1,,,,,,,,,,
Tularaemia,Jul-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis (NEC),Jun-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis B (newly acquired),Jun-19,0,1,2,4,1,1,2,1,12,0,0,0.8,0.1,0.1,0.2,0,0,0,,,,,,,,,,
Hepatitis B (unspecified),Jun-19,8,151,10,69,16,3,144,33,434,1.9,1.9,4.1,1.4,0.9,0.6,2.2,1.3,1.7,,,,,,,,,,
Hepatitis C (newly acquired),Jun-19,0,1,0,41,2,1,5,8,58,0,0,0,0.8,0.1,0.2,0.1,0.3,0.2,,,,,,,,,,
Hepatitis C (unspecified),Jun-19,9,293,12,133,30,13,133,79,702,2.1,3.6,4.9,2.6,1.7,2.4,2,3,2.8,,,,,,,,,,
Hepatitis D,Jun-19,0,4,0,1,1,0,0,0,6,0,0,0,0,0.1,0,0,0,0,,,,,,,,,,
Botulism,Jun-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Campylobacteriosis,Jun-19,37,692,35,637,193,54,480,248,2376,8.7,8.6,14.2,12.5,11,10.1,7.3,9.5,13.8,,,,,,,,,,
Cryptosporidiosis,Jun-19,1,27,12,39,4,1,42,8,134,0.2,0.3,4.9,0.8,0.2,0.2,0.6,0.3,0.5,,,,,,,,,,
Haemolytic uraemic syndrome (HUS),Jun-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis A,Jun-19,0,5,1,2,1,0,3,3,15,0,0.1,0.4,0,0.1,0,0,0.1,0.1,,,,,,,,,,
Hepatitis E,Jun-19,0,1,1,2,0,0,0,0,4,0,0,0.4,0,0,0,0,0,0,,,,,,,,,,
Listeriosis,Jun-19,0,1,0,3,0,0,0,0,4,0,0,0,0.1,0,0,0,0,0,,,,,,,,,,
Paratyphoid,Jun-19,0,1,0,0,2,0,1,0,4,0,0,0,0,0.1,0,0,0,0,,,,,,,,,,
STEC,Jun-19,0,3,0,2,24,0,6,10,45,0,0,0,0,1.4,0,0.1,0.4,0.2,,,,,,,,,,
Salmonellosis,Jun-19,5,190,28,220,67,7,209,126,852,1.2,2.3,11.4,4.3,3.8,1.3,3.2,4.8,3.4,,,,,,,,,,
Shigellosis,Jun-19,0,57,26,39,23,1,38,20,204,0,0.7,10.6,0.8,1.3,0.2,0.6,0.8,0.8,,,,,,,,,,
Typhoid Fever,Jun-19,1,1,0,1,0,0,2,0,5,0.2,0,0,0,0,0,0,0,0,,,,,,,,,,
Legionellosis,Jun-19,0,11,0,9,3,4,7,3,37,0,0.1,0,0.2,0.2,0.7,0.1,0.1,0.1,,,,,,,,,,
Leprosy,Jun-19,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Meningococcal disease (invasive),Jun-19,0,7,2,1,3,2,6,1,22,0,0.1,0.8,0,0.2,0.4,0.1,0,0.1,,,,,,,,,,
Tuberculosis,Jun-19,0,42,2,20,7,0,22,12,105,0,0.5,0.8,0.4,0.4,0,0.3,0.5,0.4,,,,,,,,,,
COVID-19,Jun-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Cholera,Jun-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Middle East respiratory syndrome coronavirus,Jun-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Plague,Jun-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rabies,Jun-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Smallpox,Jun-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Viral haemorrhagic fever (NEC),Jun-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Yellow fever,Jun-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Chlamydial infection,Jun-19,144,2487,233,1904,508,114,2037,871,8298,33.8,30.8,94.7,37.4,29,21.3,30.9,33.2,32.7,,,,,,,,,,
Donovanosis,Jun-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Gonococcal infection,Jun-19,30,864,111,420,177,7,675,308,2592,7,10.7,45.1,8.2,10.1,1.3,10.2,11.7,10.2,,,,,,,,,,
Syphilis < 2 years,Jun-19,4,146,28,85,6,0,145,48,462,0.9,1.8,11.4,1.7,0.3,0,2.2,1.8,1.8,,,,,,,,,,
Syphilis > 2 years or unspecified duration,Jun-19,2,56,3,21,27,3,60,20,192,0.5,0.7,1.2,0.4,1.5,0.6,0.9,0.8,0.8,,,,,,,,,,
Syphilis congenital,Jun-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Diphtheria,Jun-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Haemophilus influenzae type b,Jun-19,0,2,0,1,0,0,1,1,5,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Influenza (laboratory confirmed),Jun-19,761,23118,150,8443,2493,401,12041,10529,57936,178.6,285.9,61,165.8,142.3,75,182.6,401.6,228.5,,,,,,,,,,
Measles,Jun-19,0,0,0,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Mumps,Jun-19,0,2,0,2,0,1,0,2,7,0,0,0,0,0,0.2,0,0.1,0,,,,,,,,,,
Pertussis,Jun-19,18,492,2,132,28,13,117,39,841,4.2,6.1,0.8,2.6,1.6,2.4,1.8,1.5,3.3,,,,,,,,,,
Pneumococcal disease (invasive),Jun-19,4,74,6,39,19,3,63,33,241,0.9,0.9,2.4,0.8,1.1,0.6,1,1.3,1,,,,,,,,,,
Poliovirus infection,Jun-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rotavirus,Jun-19,1,85,4,87,28,5,25,63,298,0.2,1.1,1.6,1.7,1.6,0.9,0.4,2.4,1.2,,,,,,,,,,
Rubella,Jun-19,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rubella congenital,Jun-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Tetanus,Jun-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Varicella zoster (chickenpox),Jun-19,17,NN,10,127,45,5,94,50,348,4,NN,4.1,2.5,2.6,0.9,1.4,1.9,1.4,,,,,,,,,,
Varicella zoster (shingles),Jun-19,34,NN,37,357,269,38,209,182,1126,8,NN,15,7,15.4,7.1,3.2,6.9,4.4,,,,,,,,,,
Varicella zoster (unspecified),Jun-19,9,NN,1,299,6,21,673,110,1119,2.1,NN,0.4,5.9,0.3,3.9,10.2,4.2,4.4,,,,,,,,,,
Barmah Forest virus infection,Jun-19,0,8,0,7,0,0,0,1,16,0,0.1,0,0.1,0,0,0,0,0.1,,,,,,,,,,
Chikungunya virus infection,Jun-19,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Dengue virus infection,Jun-19,2,25,1,38,1,1,31,22,121,0.5,0.3,0.4,0.7,0.1,0.2,0.5,0.8,0.5,,,,,,,,,,
Flavivirus infection (unspecified),Jun-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Japanese encephalitis virus infection,Jun-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Malaria,Jun-19,0,0,2,8,2,1,4,9,26,0,0,0.8,0.2,0.1,0.2,0.1,0.3,0.1,,,,,,,,,,
Murray Valley encephalitis virus infection,Jun-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Ross River virus infection,Jun-19,0,45,11,182,3,0,11,34,286,0,0.6,4.5,3.6,0.2,0,0.2,1.3,1.1,,,,,,,,,,
West Nile/Kunjin virus infection,Jun-19,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Anthrax,Jun-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Australian bat lyssavirus infection,Jun-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Brucellosis,Jun-19,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Leptospirosis,Jun-19,0,1,0,4,1,0,4,0,10,0,0,0,0.1,0.1,0,0.1,0,0,,,,,,,,,,
Lyssavirus infection (NEC),Jun-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Ornithosis,Jun-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Q fever,Jun-19,0,17,0,15,3,0,6,1,42,0,0.2,0,0.3,0.2,0,0.1,0,0.2,,,,,,,,,,
Tularaemia,Jun-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis (NEC),May-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis B (newly acquired),May-19,0,3,1,4,1,0,4,2,15,0,0,0.4,0.1,0.1,0,0.1,0.1,0.1,,,,,,,,,,
Hepatitis B (unspecified),May-19,5,193,7,82,29,9,162,40,527,1.2,2.4,2.8,1.6,1.7,1.7,2.5,1.5,2.1,,,,,,,,,,
Hepatitis C (newly acquired),May-19,0,2,1,38,3,1,2,9,56,0,0,0.4,0.7,0.2,0.2,0,0.3,0.2,,,,,,,,,,
Hepatitis C (unspecified),May-19,14,279,16,157,23,17,156,69,731,3.3,3.5,6.5,3.1,1.3,3.2,2.4,2.6,2.9,,,,,,,,,,
Hepatitis D,May-19,0,8,1,1,0,0,0,0,10,0,0.1,0.4,0,0,0,0,0,0,,,,,,,,,,
Botulism,May-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Campylobacteriosis,May-19,56,837,44,657,246,43,556,247,2686,13.1,10.4,17.9,12.9,14,8,8.4,9.4,15.6,,,,,,,,,,
Cryptosporidiosis,May-19,0,32,32,67,9,3,74,14,231,0,0.4,13,1.3,0.5,0.6,1.1,0.5,0.9,,,,,,,,,,
Haemolytic uraemic syndrome (HUS),May-19,0,1,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis A,May-19,2,1,0,3,0,1,4,0,11,0.5,0,0,0.1,0,0.2,0.1,0,0,,,,,,,,,,
Hepatitis E,May-19,0,1,1,0,0,1,2,0,5,0,0,0.4,0,0,0.2,0,0,0,,,,,,,,,,
Listeriosis,May-19,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Paratyphoid,May-19,0,3,0,2,2,0,5,0,12,0,0,0,0,0.1,0,0.1,0,0,,,,,,,,,,
STEC,May-19,0,5,0,2,26,0,11,12,56,0,0.1,0,0,1.5,0,0.2,0.5,0.2,,,,,,,,,,
Salmonellosis,May-19,11,279,44,321,62,24,247,184,1172,2.6,3.5,17.9,6.3,3.5,4.5,3.7,7,4.6,,,,,,,,,,
Shigellosis,May-19,1,89,30,55,23,8,53,24,283,0.2,1.1,12.2,1.1,1.3,1.5,0.8,0.9,1.1,,,,,,,,,,
Typhoid Fever,May-19,0,5,0,3,0,0,7,1,16,0,0.1,0,0.1,0,0,0.1,0,0.1,,,,,,,,,,
Legionellosis,May-19,0,13,2,6,4,0,8,3,36,0,0.2,0.8,0.1,0.2,0,0.1,0.1,0.1,,,,,,,,,,
Leprosy,May-19,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Meningococcal disease (invasive),May-19,0,2,2,4,4,0,5,2,19,0,0,0.8,0.1,0.2,0,0.1,0.1,0.1,,,,,,,,,,
Tuberculosis,May-19,1,59,1,24,3,1,43,11,143,0.2,0.7,0.4,0.5,0.2,0.2,0.7,0.4,0.6,,,,,,,,,,
COVID-19,May-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Cholera,May-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Middle East respiratory syndrome coronavirus,May-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Plague,May-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rabies,May-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Smallpox,May-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Viral haemorrhagic fever (NEC),May-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Yellow fever,May-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Chlamydial infection,May-19,144,2820,302,2193,611,140,2515,975,9700,33.8,34.9,122.7,43.1,34.9,26.2,38.1,37.2,38.3,,,,,,,,,,
Donovanosis,May-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Gonococcal infection,May-19,43,1127,131,491,196,10,792,318,3108,10.1,13.9,53.2,9.6,11.2,1.9,12,12.1,12.3,,,,,,,,,,
Syphilis < 2 years,May-19,5,185,30,86,20,0,153,48,527,1.2,2.3,12.2,1.7,1.1,0,2.3,1.8,2.1,,,,,,,,,,
Syphilis > 2 years or unspecified duration,May-19,0,53,7,23,21,2,99,17,222,0,0.7,2.8,0.5,1.2,0.4,1.5,0.6,0.9,,,,,,,,,,
Syphilis congenital,May-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Diphtheria,May-19,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Haemophilus influenzae type b,May-19,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Influenza (laboratory confirmed),May-19,330,7879,233,3342,7141,314,7820,3588,30647,77.4,97.4,94.7,65.6,407.5,58.7,118.6,136.9,120.9,,,,,,,,,,
Measles,May-19,0,2,0,0,0,0,12,0,14,0,0,0,0,0,0,0.2,0,0.1,,,,,,,,,,
Mumps,May-19,0,3,0,6,2,1,3,2,17,0,0,0,0.1,0.1,0.2,0,0.1,0.1,,,,,,,,,,
Pertussis,May-19,15,565,3,115,30,35,164,58,985,3.5,7,1.2,2.3,1.7,6.5,2.5,2.2,3.9,,,,,,,,,,
Pneumococcal disease (invasive),May-19,4,54,3,29,15,3,53,24,185,0.9,0.7,1.2,0.6,0.9,0.6,0.8,0.9,0.7,,,,,,,,,,
Poliovirus infection,May-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rotavirus,May-19,4,60,5,65,30,2,17,42,225,0.9,0.7,2,1.3,1.7,0.4,0.3,1.6,0.9,,,,,,,,,,
Rubella,May-19,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rubella congenital,May-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Tetanus,May-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Varicella zoster (chickenpox),May-19,13,NN,7,41,57,10,114,45,287,3.1,NN,2.8,0.8,3.3,1.9,1.7,1.7,1.1,,,,,,,,,,
Varicella zoster (shingles),May-19,46,NN,30,299,279,44,213,175,1086,10.8,NN,12.2,5.9,15.9,8.2,3.2,6.7,4.3,,,,,,,,,,
Varicella zoster (unspecified),May-19,8,NN,2,462,5,21,710,128,1336,1.9,NN,0.8,9.1,0.3,3.9,10.8,4.9,5.3,,,,,,,,,,
Barmah Forest virus infection,May-19,0,9,0,13,0,2,1,1,26,0,0.1,0,0.3,0,0.4,0,0,0.1,,,,,,,,,,
Chikungunya virus infection,May-19,0,1,0,1,1,0,3,0,6,0,0,0,0,0.1,0,0,0,0,,,,,,,,,,
Dengue virus infection,May-19,2,45,6,35,6,3,38,44,179,0.5,0.6,2.4,0.7,0.3,0.6,0.6,1.7,0.7,,,,,,,,,,
Flavivirus infection (unspecified),May-19,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Japanese encephalitis virus infection,May-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Malaria,May-19,1,6,1,8,2,0,5,5,28,0.2,0.1,0.4,0.2,0.1,0,0.1,0.2,0.1,,,,,,,,,,
Murray Valley encephalitis virus infection,May-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Ross River virus infection,May-19,1,74,18,277,9,3,14,47,443,0.2,0.9,7.3,5.4,0.5,0.6,0.2,1.8,1.7,,,,,,,,,,
West Nile/Kunjin virus infection,May-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Anthrax,May-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Australian bat lyssavirus infection,May-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Brucellosis,May-19,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Leptospirosis,May-19,0,2,1,6,0,0,2,0,11,0,0,0.4,0.1,0,0,0,0,0,,,,,,,,,,
Lyssavirus infection (NEC),May-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Ornithosis,May-19,0,0,0,0,1,0,2,0,3,0,0,0,0,0.1,0,0,0,0,,,,,,,,,,
Q fever,May-19,0,12,0,19,0,0,5,1,37,0,0.1,0,0.4,0,0,0.1,0,0.1,,,,,,,,,,
Tularaemia,May-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
